LiefKWJ;Monat;LiefDatum;LiefZeitV;LiefZeitB;CVgId;Typ;LoAdrId;LoPlz;LoOrt;DspGrpKz;DspZenKz;AArtKz;ConTyp;CSAnz;CHAnz;FzgNr;Bez;Plz;Ort;AddDatum
2025;1;02.01.2025;;;8232078;Firma;2314329;22297;Hamburg;C;HH;H;C15;0;1;0277;Alt- und Bauholz unbehandelt A1;22525;Hamburg;30.12.2024 13:19
2025;1;02.01.2025;;;8232080;Firma;2314329;22297;Hamburg;C;HH;H;C15;0;1;0277;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;30.12.2024 13:21
2025;1;02.01.2025;;;8232123;Firma;2063131;20537;Hamburg;C;HH;H;C07;0;1;0277;Flachglas;22525;Hamburg;30.12.2024 14:34
2025;1;02.01.2025;;;8233954;Firma;1748856;21147;Hamburg;C;HH;H;C35;0;1;0259;Alt- und Bauholz behandelt A2;22525;Hamburg;02.01.2025 08:40
2025;1;02.01.2025;;;8234114;Firma;2311994;22179;Hamburg;M;HH;H;M07;0;1;0238;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;02.01.2025 10:04
2025;1;02.01.2025;07:00:00;10:00:00;8233929;Firma;1742999;22525;Hamburg;C;HH;H;C35;0;1;0274;Alt- und Bauholz unbehandelt A1;22525;Hamburg;02.01.2025 08:30
2025;1;02.01.2025;08:00:00;15:00:00;8226508;Firma;2306589;22335;Hamburg;M;HH;H;M07;0;1;0238;Beton < 60 cm;22525;Hamburg;20.12.2024 14:52
2025;1;02.01.2025;08:00:00;16:00:00;8220369;Firma;1201370;21629;Neu Wulmstorf;C;HH;H;C35SD;0;1;0190;Mischpapier 1.02 B12 mittl. EUWID Vor-Vor-Monat;22113;Hamburg;17.12.2024 12:03
2025;1;02.01.2025;11:00:00;;8220692;Firma;2307168;20355;Hamburg;C;HH;H;C25;0;1;0244;Alt- und Bauholz behandelt A2;20539;Hamburg;17.12.2024 14:43
2025;1;02.01.2025;11:00:00;14:00:00;8220755;Firma;2310729;25451;Quickborn;C;SME;H;C10;0;1;SM334;Asbestzementabfälle in 1-cbm-Big Bags verpackt;25436;Tornesch;17.12.2024 15:18
2025;1;02.01.2025;12:00:00;14:00:00;8230394;Privat;2084062;25569;Kremperheide;M;SME;H;M03KSB;0;1;SM347;Baustellenabfälle zur Vorbehandlung;25524;Itzehoe;27.12.2024 10:06
2025;1;02.01.2025;;;8222746;Verein;108610;20537;Hamburg;M;HH;L;M07D;1;1;Seelandt 3;Buschwerk und Gartenabfälle;22525;Hamburg;18.12.2024 13:07
2025;1;02.01.2025;;;8224228;Firma;1175607;24103;Kiel;C;KIE;L;CP20;1;1;0485;Gewerbeabfall zur Vorbehandlung (DB);24145;Kiel;19.12.2024 10:36
2025;1;02.01.2025;;;8225576;Firma;1375647;21035;Hamburg;C;HH;L;C35SD;1;1;0195;Gewebesäcke B-Qualität;22525;Hamburg;20.12.2024 07:38
2025;1;02.01.2025;;;8225997;Firma;1747328;22159;Hamburg;C;HH;L;CP20;1;1;0244;Kartonagen 1.04 B19 oberer EUWID Vor-Monat;22113;Hamburg;20.12.2024 10:12
2025;1;02.01.2025;;;8228930;Firma;1011177;25482;Appen;C;HH;L;C35SD;1;1;0234;Sperrmüll zur Verwertung;25436;Tornesch;23.12.2024 14:55
2025;1;02.01.2025;;;8230317;Firma;2062440;21147;Hamburg;C;HH;L;CP20;1;1;0259;Kunststofffraktion zur energet. Verwertung;20539;Hamburg;27.12.2024 08:10
2025;1;02.01.2025;;;8230447;Firma;981386;21465;Reinbek;C;HH;L;C15HM;2;2;0272;Gewerbeabfall zur Vorbehandlung;22113;Hamburg;27.12.2024 10:15
2025;1;02.01.2025;;;8230466;Firma;1202908;21035;Hamburg;C;HH;L;C25SD;1;1;0195;Gewerbeabfall zur Vorbehandlung;22113;Hamburg;27.12.2024 10:16
2025;1;02.01.2025;;;8230469;Firma;1698100;20539;Hamburg;C;HH;L;CP20;1;1;0240;Kartonagen 1.04 B19 oberer EUWID Vor-Monat;22113;Hamburg;27.12.2024 10:16
2025;1;02.01.2025;;;8230470;Firma;1698100;20539;Hamburg;C;HH;L;CP20;1;1;0240;Alt- und Bauholz behandelt A2;20539;Hamburg;27.12.2024 10:16
2025;1;02.01.2025;;;8230515;Firma;808130;22525;Hamburg;C;HH;L;CP20;1;1;0260;Kartonagen 1.04 B19 mittl. EUWID Vor-Vormonat;22525;Hamburg;27.12.2024 10:38
2025;1;02.01.2025;;;8232093;Firma;1046871;24145;Kiel;M;KIE;L;M10;1;1;0499;Alt- und Bauholz behandelt A2;24145;Kiel;30.12.2024 13:28
2025;1;02.01.2025;;;8233874;Firma;2005051;21147;Hamburg;C;HH;L;CP20;1;1;0250;Kartonagen 1.04 B19 oberer EUWID Vor-Vormonat;22525;Hamburg;02.01.2025 07:18
2025;1;02.01.2025;;;8233879;Firma;2300190;20457;Hamburg;C;HH;L;C30KO;1;1;0244;Kartonagen 1.04 B19 mittl. EUWID Vor-Vormonat;22113;Hamburg;02.01.2025 07:26
2025;1;02.01.2025;;;8233886;Firma;2300190;20457;Hamburg;C;HH;L;C25SD;1;1;0186;Überlagerte Nahrungsmittel, verpackt;27404;Rhade;02.01.2025 07:29
2025;1;02.01.2025;;11:00:00;8230344;Firma;2072738;21629;Neu Wulmstorf;C;HH;L;CP20;1;1;0276;Kartonagen 1.04 B19 oberer EUWID Vor-Vormonat;21244;Buchholz;27.12.2024 08:38
2025;1;02.01.2025;;15:30:00;8225766;Firma;1236607;22113;Hamburg;C;HH;L;C25SD;1;1;0194;Überlagerte/verunreinigte Nahrungsmittel, unverp.;24623;Großenaspe;20.12.2024 07:47
2025;1;02.01.2025;06:00:00;11:00:00;8230495;Firma;1375647;21035;Hamburg;C;HH;L;CP20;1;1;0272;4.04.01 gebr. Kraftpapiersäcke mit PE lose;22525;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;06:30:00;12:00:00;8230452;Firma;211925;21035;Hamburg;C;HH;L;C35SD;1;1;0195;Gewerbeabfall zur thermischen Verwertung;22113;Hamburg;27.12.2024 10:15
2025;1;02.01.2025;07:00:00;10:00:00;8230467;Firma;917995;22549;Hamburg;C;HH;L;C15WDPKWS;1;1;0274;Mischpapier 1.02 B12 AVV150101;20539;Hamburg;27.12.2024 10:16
2025;1;02.01.2025;07:00:00;10:00:00;8233911;Firma;965130;20457;Hamburg;C;HH;L;CP20;1;1;0240;Kartonagen 1.04 B19 oberer EUWID Vor-Vormonat;22113;Hamburg;02.01.2025 08:08
2025;1;02.01.2025;07:00:00;15:00:00;8231902;Firma;1878344;22844;Norderstedt;C;HH;L;CP20;1;1;0242;Kartonagen 1.04 B19;24558;Henstedt-Ulzburg;30.12.2024 09:34
2025;1;02.01.2025;07:30:00;09:00:00;8192960;Firma;1174504;22525;Hamburg;C;HH;L;CP20;1;1;0253;Gewerbeabfall zur Vorbehandlung (DB);22525;Hamburg;27.11.2024 17:57
2025;1;02.01.2025;07:30:00;09:00:00;8230450;Firma;1174504;22525;Hamburg;C;HH;L;CP20;1;1;0253;Gewerbeabfall zur Vorbehandlung (DB);22525;Hamburg;27.12.2024 10:15
2025;1;02.01.2025;08:00:00;09:00:00;8230445;Firma;949200;21147;Hamburg;C;HH;L;C35;2;2;0271;Gewerbeabfall zur thermischen Verwertung;20539;Hamburg;27.12.2024 10:14
2025;1;02.01.2025;08:00:00;12:00:00;8231857;Firma;1947552;21129;Hamburg;C;HH;L;C35SD;1;1;0230;Alt- und Bauholz behandelt A2;22525;Hamburg;30.12.2024 08:38
2025;1;02.01.2025;;;8231012;Firma;1881211;22525;Hamburg;C;HH;R;C35;1;1;0241;Mischpapier 1.02 B12 aus Behandlung;22525;Hamburg;27.12.2024 12:04
2025;1;02.01.2025;;;8231766;Firma;1013674;25524;Itzehoe;C;SME;R;C10;0;1;SM334;Bauschutt < 60 cm;25436;Tornesch;30.12.2024 07:08
2025;1;02.01.2025;;;8231808;Firma;2097947;24145;Kiel;C;KIE;R;C35;2;2;0491;Matratzen zur Verwertung;24539;Neumünster;30.12.2024 07:45
2025;1;02.01.2025;;;8231811;Firma;989002;24145;Kiel;C;KIE;R;C35;2;2;0491;Kontaminiertes Holz A4;24768;Rendsburg;30.12.2024 07:52
2025;1;02.01.2025;;;8231904;Firma;989002;24145;Kiel;C;KIE;R;C35;0;1;0487;Kontaminiertes Holz A4;24768;Rendsburg;30.12.2024 09:34
2025;1;02.01.2025;;;8231914;Firma;989002;24145;Kiel;C;KIE;R;C35;0;1;0487;Schrott;24768;Rendsburg;30.12.2024 09:42
2025;1;02.01.2025;;;8231993;Firma;1837796;22525;Hamburg;C;HH;R;C35;2;2;0232;Mineralfaserabfall m. sch. Verunr. in transp. Bags;23923;Selmsdorf;30.12.2024 11:18
2025;1;02.01.2025;;12:00:00;8234173;Firma;929359;22525;Hamburg;C;HH;R;C15;1;1;0276;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;02.01.2025 10:35
2025;1;02.01.2025;;12:30:00;8234229;Firma;929359;22525;Hamburg;C;HH;R;C15;1;1;0274;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;02.01.2025 11:26
2025;1;02.01.2025;;12:30:00;8234232;Firma;929359;22525;Hamburg;C;HH;R;C15;1;1;0274;Alt- und Bauholz behandelt A2;22525;Hamburg;02.01.2025 11:27
2025;1;02.01.2025;06:00:00;13:00:00;8231785;Firma;1794501;20539;Hamburg;C;HH;R;C35;2;2;Seelandt 2;Folie gemischt - Reststoff;22525;Hamburg;30.12.2024 07:26
2025;1;02.01.2025;;;8189929;Privat;2309910;24629;Kisdorf;M;HH;S;M07;1;0;0270;Sperrmüll zur Verwertung;;;26.11.2024 13:09
2025;1;02.01.2025;;;8189940;Privat;2309910;24629;Kisdorf;M;HH;S;M03;1;0;0270;Baustellenabfälle zur Vorbehandlung;;;26.11.2024 13:12
2025;1;02.01.2025;;;8217756;Firma;2314253;24114;Kiel;C;KIE;S;C15;1;0;0485;Baustellenabfälle zur Vorbehandlung;;;16.12.2024 10:10
2025;1;02.01.2025;;;8217894;Privat;2314277;24790;Schacht-Audorf;M;KIE;S;M03;1;0;0499;Bauschutt < 60 cm;;;16.12.2024 10:52
2025;1;02.01.2025;;;8222824;Firma;2091278;25335;Elmshorn;C;SME;S;C20RP;1;0;SM962;Alt- und Bauholz behandelt A2;;;18.12.2024 13:28
2025;1;02.01.2025;;;8226129;Firma;2313822;22529;Hamburg;C;HH;S;C35SD;1;0;0276;Baustellenabfälle zur thermischen Verwertung;;;20.12.2024 11:22
2025;1;02.01.2025;;;8231004;Firma;2315862;25335;Elmshorn;C;SME;S;C10;2;0;SM334;Bauschutt < 60 cm;;;27.12.2024 11:55
2025;1;02.01.2025;;;8231005;Firma;2315862;25335;Elmshorn;C;SME;S;C35;1;0;SM334;Baustellenabfälle zur Vorbehandlung;;;27.12.2024 11:56
2025;1;02.01.2025;;;8231876;Privat;2108036;25591;Ottenbüttel;M;SME;S;M03;1;0;SM347;Bauschutt < 60 cm;;;30.12.2024 09:02
2025;1;02.01.2025;;;8231878;Privat;2108036;25591;Ottenbüttel;M;SME;S;M05;1;0;SM347;Kontaminiertes Holz A4;;;30.12.2024 09:02
2025;1;02.01.2025;;;8231922;Privat;2315946;21129;Hamburg;M;HH;S;M10;1;0;Seelandt 3;Bauschutt < 60 cm;;;30.12.2024 10:00
2025;1;02.01.2025;;;8232001;Firma;1963642;22113;Hamburg;C;HH;S;C35;1;0;0253;Vermischte Verpackungsabfälle zur Vorbehandlung;;;30.12.2024 11:21
2025;1;02.01.2025;;;8232108;Privat;2315626;25355;Barmstedt;M;SME;S;M07;1;0;SM347;Bauschutt < 60 cm;;;30.12.2024 13:47
2025;1;02.01.2025;;;8233918;Privat;2302662;24113;Molfsee;M;KIE;S;M05;1;0;0499;Baustellenabfälle zur Vorbehandlung;;;02.01.2025 08:17
2025;1;02.01.2025;;06:00:00;8220686;Firma;2307168;20355;Hamburg;C;HH;S;C25;1;0;0195;Alt- und Bauholz behandelt A2;;;17.12.2024 14:42
2025;1;02.01.2025;;12:00:00;8233934;Privat;2314892;25348;Glückstadt;C;SME;S;C25;1;0;SM962;Sperrmüll zur Verwertung;;;02.01.2025 08:33
2025;1;02.01.2025;;14:00:00;8230352;Firma;1122319;22523;Hamburg;C;HH;S;C20;1;0;0253;Kunststofffraktion zur energet. Verwertung;;;27.12.2024 08:45
2025;1;02.01.2025;;15:00:00;8233993;Firma;2289990;20146;Hamburg;C;HH;S;C10;1;0;0253;Bauschutt < 60 cm;;;02.01.2025 09:11
2025;1;02.01.2025;07:00:00;09:00:00;8222239;Privat;2314892;25348;Glückstadt;C;SME;S;C35;1;0;SM962;Sperrmüll zur Verwertung;;;18.12.2024 10:47
2025;1;02.01.2025;07:00:00;10:00:00;8223064;Firma;2315033;20459;Hamburg;C;HH;S;C35;1;0;0241;Sperrmüll zur Verwertung;;;18.12.2024 14:35
2025;1;02.01.2025;08:00:00;10:00:00;8210093;Firma;2313184;22559;Hamburg;M;HH;S;M05;1;0;0238;Baustellenabfälle zur Vorbehandlung;;;10.12.2024 12:39
2025;1;02.01.2025;08:00:00;10:00:00;8210097;Firma;2313184;22559;Hamburg;M;HH;S;M05;1;0;0238;Bauschutt < 60 cm;;;10.12.2024 12:39
2025;1;02.01.2025;08:00:00;10:00:00;8210100;Firma;2313184;22559;Hamburg;M;HH;S;M05;1;0;0238;Alt- und Bauholz behandelt A2;;;10.12.2024 12:40
2025;1;02.01.2025;08:00:00;11:00:00;8231908;Firma;73910;22339;Hamburg;M;HH;S;M07;1;0;0270;Alt- und Bauholz behandelt A2;;;30.12.2024 09:36
2025;1;02.01.2025;08:00:00;12:00:00;8226042;Verein;2132145;20359;Hamburg;M;HH;S;M07;1;0;0238;Bauschutt < 60 cm;;;20.12.2024 10:37
2025;1;02.01.2025;09:00:00;12:00:00;8223933;Privat;2315109;22880;Wedel;C;HH;S;C20;1;0;0234;Sperrmüll zur Verwertung;;;19.12.2024 07:46
2025;1;02.01.2025;09:00:00;12:00:00;8231959;Firma;2289990;20146;Hamburg;M;HH;S;M10;1;0;0282;Bauschutt < 60 cm;;;30.12.2024 10:29
2025;1;02.01.2025;09:00:00;12:00:00;8231960;Firma;2289990;20146;Hamburg;M;HH;S;M07;1;0;0115;Bauschutt < 60 cm;;;30.12.2024 10:30
2025;1;02.01.2025;;;8222164;Firma;949219;21147;Hamburg;C;HH;T;C30HDPKBK2;1;1;0259;Verpackungen mit schädl. Verunreinigungen (Metall);20539;Hamburg;18.12.2024 10:20
2025;1;02.01.2025;;;8230254;Firma;2231785;25566;Lägerdorf;C;SME;T;C15KALK;1;1;SM762;;;;27.12.2024 07:24
2025;1;02.01.2025;;;8230285;Firma;2231785;25566;Lägerdorf;C;SME;T;C15KALK;1;1;SM762;;;;27.12.2024 07:31
2025;1;02.01.2025;;;8176461;Firma;949191;21147;Hamburg;C;HH;W;C25;2;2;0271;Kantenrollen aus Kunststoff z. energet. Verwertung;20539;Hamburg;18.11.2024 09:01
2025;1;02.01.2025;;;8202314;Firma;1899803;24866;Busdorf;C;KIE;W;C35SD;1;1;0485;Gewerbeabfall zur Vorbehandlung;24145;Kiel;04.12.2024 13:14
2025;1;02.01.2025;;;8224878;Firma;2156258;25358;Horst;C;SME;W;C35;1;1;SM334;Gewerbeabfall zur Vorbehandlung;25436;Tornesch;19.12.2024 16:21
2025;1;02.01.2025;;;8225687;Firma;1375647;21035;Hamburg;M;HH;W;M10D;1;1;0263;Verpackungen mit schädl. Verunr. (Kunststoff);22525;Hamburg;20.12.2024 07:43
2025;1;02.01.2025;;;8225747;Firma;2268569;21129;Hamburg;M;HH;W;M10;1;1;Seelandt 3;Gewerbeabfall zur Vorbehandlung;22113;Hamburg;20.12.2024 07:46
2025;1;02.01.2025;;;8225760;Firma;2268569;21129;Hamburg;M;HH;W;M10D;1;1;0263;Gewerbeabfall zur Vorbehandlung;22113;Hamburg;20.12.2024 07:47
2025;1;02.01.2025;;;8230465;Firma;1013514;22395;Hamburg;C;HH;W;C15HM;1;1;0236;Gewerbeabfall zur Vorbehandlung (DB);22525;Hamburg;27.12.2024 10:15
2025;1;02.01.2025;;;8230492;Firma;92400;21079;Hamburg;C;HH;W;C35;1;1;0240;Alt- und Bauholz behandelt A2;20539;Hamburg;27.12.2024 10:16
2025;1;02.01.2025;;;8230497;Firma;1406027;27383;Scheeßel;C;HH;W;C35;2;2;Seelandt 2;Baustellenabfälle zur Vorbehandlung;20539;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;;;8230499;Firma;180080;20097;Hamburg;C;HH;W;C35;1;1;0253;Alt- und Bauholz behandelt A2;20539;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;;;8230502;Firma;2279105;21129;Hamburg;C;HH;W;C35;1;1;0235;Gewerbeabfall zur Vorbehandlung;20539;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;;;8230503;Firma;2268569;21129;Hamburg;C;HH;W;C25;1;1;0235;Alt- und Bauholz behandelt A2;22525;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;;;8230517;Firma;808130;22525;Hamburg;C;HH;W;C35;1;1;0260;Sperrmüll zur Verwertung;22525;Hamburg;27.12.2024 10:38
2025;1;02.01.2025;;;8231763;Firma;1151152;21465;Reinbek;C;HH;W;C15;1;1;0195;Baustellenabfälle zur Vorbehandlung;20539;Hamburg;30.12.2024 07:05
2025;1;02.01.2025;;;8231880;Firma;2310495;22880;Wedel;M;HH;W;M07D;1;1;0268;Gewerbeabfall zur Vorbehandlung;22525;Hamburg;30.12.2024 09:02
2025;1;02.01.2025;;;8231931;Firma;1369177;25348;Glückstadt;M;SME;W;M05;1;1;SM347;Gewerbeabfall zur Vorbehandlung;25524;Itzehoe;30.12.2024 10:06
2025;1;02.01.2025;;;8231980;Firma;1838624;21107;Hamburg;C;HH;W;C25SD;1;1;0194;kompostierbare Abfälle;24623;Großenaspe;30.12.2024 11:00
2025;1;02.01.2025;;;8232009;Firma;2003572;24113;Kiel;C;KIE;W;C10SB;1;1;0485;Alt- und Bauholz behandelt A2;24145;Kiel;30.12.2024 11:31
2025;1;02.01.2025;;;8232824;Firma;1878358;23795;Bad Segeberg;C;HH;W;CP20;1;1;0242;Verpressen Kaufhauspapier;24558;Henstedt-Ulzburg;31.12.2024 07:43
2025;1;02.01.2025;;;8233862;Firma;2005051;21147;Hamburg;C;HH;W;C35SD;1;1;0250;Papphülsen;22525;Hamburg;02.01.2025 07:12
2025;1;02.01.2025;;;8233864;Firma;2005051;21147;Hamburg;C;HH;W;C35SD;1;1;0250;Alt- und Bauholz behandelt A2;22525;Hamburg;02.01.2025 07:13
2025;1;02.01.2025;;;8234044;Firma;1519550;22113;Hamburg;C;HH;W;C35;1;1;0235;Alt- und Bauholz unbehandelt A1;22525;Hamburg;02.01.2025 09:19
2025;1;02.01.2025;;;8234065;Firma;1519550;22113;Hamburg;C;HH;W;C35;1;1;0235;Sperrmüll zur Verwertung;20539;Hamburg;02.01.2025 09:23
2025;1;02.01.2025;;;8234105;Firma;2311994;22179;Hamburg;C;HH;W;C15HM;1;1;0236;Vermischte Verpackungsabfälle zur Vorbehandlung;22525;Hamburg;02.01.2025 10:02
2025;1;02.01.2025;;;8234109;Firma;2311994;22179;Hamburg;M;HH;W;M10;1;1;0268;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;02.01.2025 10:03
2025;1;02.01.2025;06:45:00;15:00:00;8192898;Firma;1103700;22303;Hamburg;C;HH;W;C35;1;1;0260;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;27.11.2024 17:54
2025;1;02.01.2025;07:00:00;;8230494;Firma;818023;21029;Hamburg;C;HH;W;C35;2;2;0194;Baustellenabfälle zur Vorbehandlung;20539;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;07:00:00;07:00:00;8230498;Firma;961812;20355;Hamburg;C;HH;W;C15HM;1;1;0236;Vermischte Verpackungsabfälle schw. sortierfähig;22525;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;07:00:00;10:00:00;8226491;Firma;2115657;20146;Hamburg;M;HH;W;M10;1;1;0115;Gipskartonplatten;22525;Hamburg;20.12.2024 14:30
2025;1;02.01.2025;07:00:00;10:00:00;8226493;Firma;2115657;20146;Hamburg;M;HH;W;M10;1;1;0115;Alt- und Bauholz unbehandelt A1;22525;Hamburg;20.12.2024 14:30
2025;1;02.01.2025;07:00:00;10:00:00;8226499;Firma;2115657;20146;Hamburg;M;HH;W;M10;1;1;0115;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;20.12.2024 14:34
2025;1;02.01.2025;07:00:00;11:00:00;8228719;Firma;2310495;22880;Wedel;M;HH;W;M07D;1;1;0115;Gewerbeabfall zur Vorbehandlung;22525;Hamburg;23.12.2024 09:34
2025;1;02.01.2025;07:00:00;12:00:00;8226205;Firma;2038777;22880;Wedel;M;HH;W;M10D;1;1;0282;Kartonagen 1.04 B19 mittl. EUWID Vor-Vormonat;22525;Hamburg;20.12.2024 12:20
2025;1;02.01.2025;07:00:00;12:00:00;8234043;Firma;1124494;21107;Hamburg;C;HH;W;C15HM;1;1;0236;Gewerbeabfall zur thermischen Verwertung;22113;Hamburg;02.01.2025 09:19
2025;1;02.01.2025;08:00:00;10:00:00;8226136;Firma;2313822;22529;Hamburg;C;HH;W;C35SD;1;1;0230;Sperrmüll zur Verwertung;22525;Hamburg;20.12.2024 11:25
2025;1;02.01.2025;08:00:00;12:00:00;8231804;Firma;1483681;24558;Henstedt-Ulzburg;C;HH;W;C35;1;1;0242;Verpressen Graukarton;24558;Henstedt-Ulzburg;30.12.2024 07:39
2025;1;02.01.2025;09:00:00;12:00:00;8226311;Firma;2313789;22605;Hamburg;M;HH;W;M10;1;1;0268;Baustellenabfälle zur thermischen Verwertung;22525;Hamburg;20.12.2024 13:55
2025;1;02.01.2025;09:00:00;12:00:00;8228678;Firma;2313789;22605;Hamburg;M;HH;W;M10;1;1;0268;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;23.12.2024 08:58
2025;1;02.01.2025;09:00:00;14:00:00;8230501;Firma;2265107;21129;Hamburg;C;HH;W;C35SD;1;1;0230;Alt- und Bauholz unbehandelt A1;22525;Hamburg;27.12.2024 10:17
2025;1;02.01.2025;09:30:00;17:00:00;8230441;Firma;1888678;22083;Hamburg;C;HH;W;C25SD;1;1;0230;Asbestzementabfälle in 1-cbm-Big Bags verpackt;22525;Hamburg;27.12.2024 10:14
2025;1;02.01.2025;14:00:00;17:00:00;8231915;Firma;942601;21147;Hamburg;C;HH;W;C35;1;1;0235;Gewerbeabfall zur thermischen Verwertung;20539;Hamburg;30.12.2024 09:45
2025;1;03.01.2025;;;8226289;Firma;2279538;25746;Heide;M;SME;H;M10D;0;1;SM347;Baustellenabfälle zur Vorbehandlung;25524;Itzehoe;20.12.2024 13:28
2025;1;03.01.2025;;;8231956;Privat;2315949;24113;Molfsee;M;KIE;H;M07;0;1;0499;Sperrmüll zur Verwertung;24145;Kiel;30.12.2024 10:22
2025;1;03.01.2025;;;8233912;Firma;2274914;25599;Wewelsfleth;M;SME;H;M10KB;0;3;SM347;;;;02.01.2025 08:10
2025;1;03.01.2025;;;8233914;Firma;2274914;25599;Wewelsfleth;M;SME;H;M07KB;0;3;SM347;;;;02.01.2025 08:11
2025;1;03.01.2025;;;8233992;Privat;2264623;25488;Holm;C;SME;H;C10SB;0;1;SM862;Baustellenabfälle zur Vorbehandlung;25436;Tornesch;02.01.2025 09:12
2025;1;03.01.2025;;;8234191;Firma;2132807;24118;Kiel;C;KIE;H;C35;0;1;0485;Gewerbeabfall zur Vorbehandlung;24145;Kiel;02.01.2025 10:56
2025;1;03.01.2025;;;8234237;Firma;2312330;22041;hamburg;C;HH;H;C15;0;1;0241;Sperrmüll zur Verwertung;20539;Hamburg;02.01.2025 11:29
2025;1;03.01.2025;;;8234238;Firma;1122319;22523;Hamburg;C;HH;H;C20;0;1;0253;Mischkunststoffe;22525;Hamburg;02.01.2025 11:30
2025;1;03.01.2025;;;8234252;Firma;2315033;20459;Hamburg;C;HH;H;C35;0;1;0241;Sperrmüll zur Verwertung;22525;Hamburg;02.01.2025 11:47
2025;1;03.01.2025;;;8234341;Firma;1138807;20095;Hamburg;M;HH;H;M10D;0;1;0268;Gipskartonplatten;22525;Hamburg;02.01.2025 13:01
2025;1;03.01.2025;;;8234429;AöR/KöR;1464330;24106;Kiel;C;KIE;H;C35;0;1;0485;Sperrmüll zur Verwertung;24145;Kiel;02.01.2025 14:14
2025;1;03.01.2025;;;8234680;Privat;2314892;25348;Glückstadt;C;SME;H;C25;0;1;SM334;Sperrmüll zur Verwertung;25524;Itzehoe;02.01.2025 16:08
2025;1;03.01.2025;;;8235576;Firma;2214049;22761;Hamburg;M;HH;H;M10D;0;1;0262;Sperrmüll zur Verwertung;22525;Hamburg;03.01.2025 11:10
2025;1;03.01.2025;07:00:00;10:00:00;8233931;Firma;1742999;22525;Hamburg;M;HH;H;M07;0;1;0270;Schrott;21079;Hamburg;02.01.2025 08:32
2025;1;03.01.2025;07:00:00;10:00:00;8234397;Firma;1250340;20354;Hamburg;C;HH;H;CP20;0;1;0236;Gewerbeabfall zur thermischen Verwertung;22525;Hamburg;02.01.2025 13:44
2025;1;03.01.2025;07:00:00;11:00:00;8210158;AöR/KöR;2302327;22850;Norderstedt;C;HH;H;C15;0;1;0241;Asbestzementabfälle in 1-cbm-Big Bags verpackt;22525;Hamburg;10.12.2024 13:01
2025;1;03.01.2025;08:00:00;13:00:00;8231906;Firma;73910;22339;Hamburg;M;HH;H;M07;0;1;0268;Alt- und Bauholz behandelt A2;20539;Hamburg;30.12.2024 09:35
